timestamp,intake_lidar,left_lidar,right_lidar,drive_0,drive_1,drive_2,drive_3
1524533911312,673.524807472706,-5.854099616408346,1655.105031180382,923653.0,394211.0,-2616813.0,426902.0
1524533911319,672.8485738320352,-5.066086983680723,1655.1502701282502,923653.0,394211.0,-2616813.0,426902.0
1524533911322,672.8485738320352,-5.066086983680723,1655.1502701282502,923653.0,394211.0,-2616813.0,426902.0
1524533911323,672.8485738320352,-5.066086983680723,1655.1502701282502,923653.0,394211.0,-2616813.0,426902.0
1524533911327,672.8485738320352,-5.066086983680723,1655.1502701282502,923653.0,394211.0,-2616813.0,426902.0
1524533911332,672.8485738320352,-5.066086983680723,1655.1502701282502,923653.0,394211.0,-2616813.0,426902.0
1524533911337,672.0371528497935,-4.126699495315549,1656.2650071144103,923653.0,394211.0,-2616813.0,426902.0
1524533911342,672.0371528497935,-4.126699495315549,1656.2650071144103,923653.0,394211.0,-2616813.0,426902.0
1524533911347,672.0371528497935,-4.126699495315549,1656.2650071144103,923653.0,394211.0,-2616813.0,426902.0
1524533911352,672.0371528497935,-4.126699495315549,1656.2650071144103,923653.0,394211.0,-2616813.0,426902.0
1524533911358,673.3519415774347,-4.356433853507039,1655.0580662250518,923653.0,394211.0,-2616813.0,426902.0
1524533911362,673.3519415774347,-4.356433853507039,1655.0580662250518,923653.0,394211.0,-2616813.0,426902.0
1524533911367,673.3519415774347,-4.356433853507039,1655.0580662250518,923653.0,394211.0,-2616813.0,426902.0
1524533911372,673.3519415774347,-4.356433853507039,1655.0580662250518,923653.0,394211.0,-2616813.0,426902.0
1524533911377,674.3682680658103,-4.356433853507039,1655.0580662250518,923653.0,394211.0,-2616813.0,426902.0
1524533911382,674.3682680658103,-3.877283951640126,1656.4939614772798,923653.0,394211.0,-2616813.0,426902.0
1524533911387,674.3682680658103,-3.877283951640126,1656.4939614772798,923653.0,394211.0,-2616813.0,426902.0
1524533911392,674.3682680658103,-3.877283951640126,1656.4939614772798,923653.0,394211.0,-2616813.0,426902.0
1524533911397,673.482616200924,-3.1683996915817225,1659.4653378963471,923653.0,394211.0,-2616813.0,426902.0
1524533911402,673.482616200924,-3.1683996915817225,1659.4653378963471,923653.0,394211.0,-2616813.0,426902.0
1524533911407,673.482616200924,-3.1683996915817225,1659.4653378963471,923653.0,394211.0,-2616813.0,426902.0
1524533911412,673.482616200924,-3.1683996915817225,1659.4653378963471,923653.0,394211.0,-2616813.0,426902.0
1524533911417,673.8759470783473,-3.1683996915817225,1660.580061674118,923653.0,394211.0,-2616813.0,426902.0
1524533911423,673.8759470783473,-4.200955733656881,1660.580061674118,923653.0,394211.0,-2616813.0,426902.0
1524533911427,673.8759470783473,-4.200955733656881,1660.580061674118,923653.0,394211.0,-2616813.0,426902.0
1524533911432,673.8759470783473,-4.200955733656881,1660.580061674118,923653.0,394211.0,-2616813.0,426902.0
1524533911438,672.9675504199267,-5.233511775732039,1661.9615285396576,923653.0,394211.0,-2616813.0,426902.0
1524533911442,672.9675504199267,-5.233511775732039,1661.9615285396576,923653.0,394211.0,-2616813.0,426902.0
1524533911447,672.9675504199267,-5.233511775732039,1661.9615285396576,923653.0,394211.0,-2616813.0,426902.0
1524533911452,672.9675504199267,-5.233511775732039,1661.9615285396576,923653.0,394211.0,-2616813.0,426902.0
1524533911457,671.8129021049739,-5.233511775732039,1661.9615285396576,923653.0,394211.0,-2616813.0,426902.0
1524533911462,671.8129021049739,-5.164749297499655,1662.5568119049071,923653.0,394211.0,-2616813.0,426902.0
1524533911467,671.8129021049739,-5.164749297499655,1662.5568119049071,923653.0,394211.0,-2616813.0,426902.0
1524533911472,671.8129021049739,-5.164749297499655,1662.5568119049071,923653.0,394211.0,-2616813.0,426902.0
1524533911477,673.7871020346881,-5.095986819267271,1668.678377008438,923653.0,394211.0,-2616813.0,426902.0
1524533911482,673.7871020346881,-5.095986819267271,1668.678377008438,923653.0,394211.0,-2616813.0,426902.0
1524533911487,673.7871020346881,-5.095986819267271,1668.678377008438,923653.0,394211.0,-2616813.0,426902.0
1524533911492,673.7871020346881,-5.095986819267271,1668.678377008438,923653.0,394211.0,-2616813.0,426902.0
1524533911497,675.0307508687974,-5.650065219402311,1666.4888453960418,923653.0,394211.0,-2616813.0,426902.0
1524533911502,675.0307508687974,-5.650065219402311,1666.4888453960418,923653.0,394211.0,-2616813.0,426902.0
1524533911507,675.0307508687974,-5.650065219402311,1666.4888453960418,923653.0,394211.0,-2616813.0,426902.0
1524533911512,675.0307508687974,-5.650065219402311,1666.4888453960418,923653.0,394211.0,-2616813.0,426902.0
1524533911517,674.2034461174012,-5.991102516651152,1661.4053520679474,923653.0,394211.0,-2616813.0,426902.0
1524533911522,674.2034461174012,-5.991102516651152,1661.4053520679474,923652.0,394211.0,-2616813.0,426902.0
1524533911527,674.2034461174012,-5.991102516651152,1661.4053520679474,923652.0,394211.0,-2616813.0,426902.0
1524533911532,674.2034461174012,-5.991102516651152,1661.4053520679474,923652.0,394211.0,-2616813.0,426902.0
1524533911538,673.1462346498968,-5.385242998600004,1665.5820804119112,923652.0,394211.0,-2616813.0,426902.0
1524533911542,673.1462346498968,-5.385242998600004,1665.5820804119112,923652.0,394211.0,-2616813.0,426902.0
1524533911547,673.1462346498968,-5.385242998600004,1665.5820804119112,923652.0,394211.0,-2616813.0,426902.0
1524533911552,673.1462346498968,-5.385242998600004,1665.5820804119112,923652.0,394211.0,-2616813.0,426902.0
1524533911557,674.014417071581,-5.1660866737365705,1665.3664127826692,923652.0,394211.0,-2616813.0,426902.0
