timestamp,intake_lidar,left_lidar,right_lidar,drive_0,drive_1,drive_2,drive_3
1524533819210,670.8069619767666,-10.188608691096304,1660.4578357696532,765312.0,390593.0,-2762161.0,549378.0
1524533819213,670.8069619767666,-10.188608691096304,1660.4578357696532,765312.0,390593.0,-2762161.0,549378.0
1524533819215,670.2169515595438,-10.188608691096304,1662.2997012615203,765312.0,390593.0,-2762161.0,549378.0
1524533819218,670.2169515595438,-9.758136817812918,1662.2997012615203,765312.0,390593.0,-2762161.0,549378.0
1524533819222,670.2169515595438,-9.758136817812918,1662.2997012615203,765312.0,390593.0,-2762161.0,549378.0
1524533819227,670.2169515595438,-9.758136817812918,1662.2997012615203,765312.0,390593.0,-2762161.0,549378.0
1524533819232,670.2169515595438,-9.758136817812918,1662.2997012615203,765312.0,390593.0,-2762161.0,549378.0
1524533819237,669.4017082321645,-9.833740240335462,1668.0500575780868,765312.0,390593.0,-2762161.0,549378.0
1524533819242,669.4017082321645,-9.833740240335462,1668.0500575780868,765312.0,390593.0,-2762161.0,549378.0
1524533819247,669.4017082321645,-9.833740240335462,1668.0500575780868,765312.0,390593.0,-2762161.0,549378.0
1524533819252,669.4017082321645,-9.833740240335462,1668.0500575780868,765312.0,390593.0,-2762161.0,549378.0
1524533819257,670.2723831088545,-10.154827752709387,1668.2089721918105,765312.0,390593.0,-2762161.0,549378.0
1524533819262,670.2723831088545,-10.154827752709387,1668.2089721918105,765312.0,390593.0,-2762161.0,549378.0
1524533819267,670.2723831088545,-10.154827752709387,1668.2089721918105,765312.0,390593.0,-2762161.0,549378.0
1524533819272,670.2723831088545,-10.154827752709387,1668.2089721918105,765312.0,390593.0,-2762161.0,549378.0
1524533819277,670.5442983374596,-9.931683892011641,1664.2809370040893,765312.0,390593.0,-2762161.0,549378.0
1524533819282,670.5442983374596,-9.931683892011641,1664.2809370040893,765312.0,390593.0,-2762161.0,549378.0
1524533819287,670.5442983374596,-9.931683892011641,1664.2809370040893,765312.0,390593.0,-2762161.0,549378.0
1524533819292,670.5442983374596,-9.931683892011641,1664.2809370040893,765312.0,390593.0,-2762161.0,549378.0
1524533819300,670.6856051048042,-10.183568456768988,1664.1024780273438,765312.0,390593.0,-2762161.0,549378.0
1524533819302,670.6856051048042,-10.183568456768988,1664.1024780273438,765312.0,390593.0,-2762161.0,549378.0
1524533819307,670.6856051048042,-10.183568456768988,1664.1024780273438,765312.0,390593.0,-2762161.0,549378.0
1524533819312,670.6856051048042,-10.183568456768988,1664.1024780273438,765312.0,390593.0,-2762161.0,549378.0
1524533819317,671.2562236113549,-10.873184013366696,1662.8112423658372,765312.0,390593.0,-2762161.0,549378.0
1524533819322,671.2562236113549,-10.873184013366696,1662.8112423658372,765312.0,390593.0,-2762161.0,549378.0
1524533819327,671.2562236113549,-10.873184013366696,1662.8112423658372,765312.0,390593.0,-2762161.0,549378.0
1524533819332,671.2562236113549,-10.873184013366696,1662.8112423658372,765312.0,390593.0,-2762161.0,549378.0
1524533819337,669.8666777900457,-10.279308736324307,1662.8067845821379,765312.0,390593.0,-2762161.0,549378.0
1524533819342,669.8666777900457,-10.279308736324307,1662.8067845821379,765312.0,390593.0,-2762161.0,549378.0
1524533819347,669.8666777900457,-10.279308736324307,1662.8067845821379,765312.0,390593.0,-2762161.0,549378.0
1524533819352,669.8666777900457,-10.279308736324307,1662.8067845821379,765312.0,390593.0,-2762161.0,549378.0
1524533819357,670.2321974952222,-9.928218203783032,1665.5086216688155,765312.0,390593.0,-2762161.0,549378.0
1524533819362,670.2321974952222,-9.928218203783032,1665.5086216688155,765312.0,390593.0,-2762161.0,549378.0
1524533819368,670.2321974952222,-9.928218203783032,1665.5086216688155,765312.0,390593.0,-2762161.0,549378.0
1524533819372,670.2321974952222,-9.928218203783032,1665.5086216688155,765312.0,390593.0,-2762161.0,549378.0
1524533819377,671.8452178828718,-11.06128714084625,1664.2169556617737,765312.0,390593.0,-2762161.0,549378.0
1524533819382,671.8452178828718,-11.06128714084625,1664.2169556617737,765312.0,390593.0,-2762161.0,549378.0
1524533819387,671.8452178828718,-11.06128714084625,1664.2169556617737,765312.0,390593.0,-2762161.0,549378.0
1524533819392,671.8452178828718,-11.06128714084625,1664.2169556617737,765312.0,390593.0,-2762161.0,549378.0
1524533819397,671.4626263711453,-10.93032763302326,1660.6148785829546,765312.0,390593.0,-2762161.0,549378.0
1524533819402,671.4626263711453,-10.93032763302326,1660.6148785829546,765312.0,390593.0,-2762161.0,549378.0
1524533819407,671.4626263711453,-10.93032763302326,1660.6148785829546,765312.0,390593.0,-2762161.0,549378.0
1524533819412,671.4626263711453,-10.93032763302326,1660.6148785829546,765312.0,390593.0,-2762161.0,549378.0
1524533819417,670.5094001790286,-9.855121424794195,1659.613557457924,765312.0,390593.0,-2762161.0,549378.0
1524533819422,670.5094001790286,-9.855121424794195,1659.613557457924,765312.0,390593.0,-2762161.0,549378.0
1524533819427,670.5094001790286,-9.855121424794195,1659.613557457924,765312.0,390593.0,-2762161.0,549378.0
1524533819432,670.5094001790286,-9.855121424794195,1659.613557457924,765312.0,390593.0,-2762161.0,549378.0
1524533819437,671.0950025616885,-9.74048095345497,1659.5075881958007,765312.0,390593.0,-2762161.0,549378.0
1524533819442,671.0950025616885,-9.74048095345497,1659.5075881958007,765312.0,390593.0,-2762161.0,549378.0
1524533819447,671.0950025616885,-9.74048095345497,1659.5075881958007,765312.0,390593.0,-2762161.0,549378.0
1524533819452,671.0950025616885,-9.74048095345497,1659.5075881958007,765312.0,390593.0,-2762161.0,549378.0
